sku,qty,price,special_price,group_price:Qartapanner 5,group_price:Qartapanner 10,group_price:Qartapanner 15,group_price:Qartapanner 20,group_price:Qartapanner 25,group_price:Qartapanner 30
5055443628675,.000,18500,18500,17600,16650,16650,16650,,
5055443629306,0,7400,7400,7050,6700,6700,6700,,
5055443627562,.000,3700,3700,3550,3350,3350,3350,,
5055443635185,0,18500,18500,17600,16650,16650,16650,,
016401211020,0,1400,1400,1350,1300,1300,1300,,
8691190960940,0,350,350,350,350,350,350,,
8691190960964,0,350,350,350,350,350,350,,
8691190837006,0,550,550,550,500,500,500,,
8691190837020,0,550,550,550,500,500,500,,
4045787238334,0,7600,7600,7250,6850,6850,6850,,
11062,0,900,900,900,850,850,850,,
1078872222249,0,500,500,500,450,450,450,,
9635,0,180,180,200,200,200,200,,
8691190108038,0,1900,1900,1850,1750,1750,1750,,
4052136039528,0,7900,7900,7550,7150,7150,7150,,
4052136039474,0,2100,2100,2000,1900,1900,1900,,
4051564006164,0,3800,3800,3650,3450,3450,3450,,
4051564007307,0,1900,1900,1850,1750,1750,1750,,
4051564007291,0,1900,1900,1850,1750,1750,1750,,
8697420530273,0,500,500,500,450,450,450,,
8697420532079,0,800,800,800,750,750,750,,
8697420533212,0,550,550,550,500,500,500,,
041065340458,0,1000,1000,950,900,900,900,,
041065155373,0,650,650,650,600,600,600,,
5055443628972,0,13000,13000,12350,11700,11700,11700,,
6296569002379,0,550,550,550,500,500,500,,
6296569011852,0,1000,1000,950,900,900,900,,
8691190926106,0,300,300,300,300,300,300,,
8691190926199,0,300,300,300,300,300,300,,
8691190926205,0,300,300,300,300,300,300,,
8691190926267,0,300,300,300,300,300,300,,
8691190926298,0,300,300,300,300,300,300,,
8691190926328,0,300,300,300,300,300,300,,
8691190926380,0,300,300,300,300,300,300,,
8691190926410,0,300,300,300,300,300,300,,
8691190926458,0,300,300,300,300,300,300,,
8691190926465,0,300,300,300,300,300,300,,
8691190926472,0,300,300,300,300,300,300,,
8691190926502,0,300,300,300,300,300,300,,
8691190926540,0,300,300,300,300,300,300,,
8691190926571,0,300,300,300,300,300,300,,
8691190926632,0,300,300,300,300,300,300,,
8691190926687,0,300,300,300,300,300,300,,
8691190926700,0,300,300,300,300,300,300,,
8691190466299,0,1300,1300,1250,1200,1200,1200,,
5902082503651,0,700,700,700,650,650,650,,
5902082503675,0,700,700,700,650,650,650,,
5902082503743,0,700,700,700,650,650,650,,
5902082503767,0,700,700,700,650,650,650,,
5902082503835,0,700,700,700,650,650,650,,
5902082503859,0,700,700,700,650,650,650,,
5902082504603,0,1000,1000,950,900,900,900,,
5902082504627,0,800,800,800,750,750,750,,
5907446660742,0,1200,1200,1150,1100,1100,1100,,
5902082504078,0,2500,2500,2400,2250,2250,2250,,
614514133026,0,3100,3100,2950,2800,2650,2500,,
614514139028,0,7800,7800,7450,7050,6650,6250,,
614514023389,0,8400,8400,8000,7600,7150,6750,,
614514023440,0,5300,5300,5050,4800,4550,4250,,
6295124009587,0,5900,5900,5650,5350,5050,4750,,
3700074221215,0,3100,3100,2950,2800,2650,2500,,
3700074258044,0,1500,1500,1450,1350,1300,1200,,
3700074261945,0,900,900,900,850,800,750,,
3454960024021,0,39900,39900,37950,35950,33950,31950,,
3386460047357,0,45000,45000,42750,40500,38250,36000,,
3386460059084,0,0,01,0,01,0,01,0,01,0,01,0,01,,
3386460056908,0,23000,23000,21850,20700,19550,18400,,
3386460070867,0,44000,44000,41800,39600,37400,35200,,
3386460070874,0,30800,30800,29300,27750,26200,24650,,
3386460046244,0,16000,16000,15200,14400,13600,12800,,
17161,0,,,,,,,,
18101,0,600,600,600,550,550,550,,
18102,0,600,600,600,550,550,550,,
18103,0,600,600,600,550,550,550,,
18104,0,600,600,600,550,550,550,,
18119,0,600,600,600,550,550,550,,
18120,0,600,600,600,550,550,550,,
18121,0,600,600,600,550,550,550,,
18122,0,600,600,600,550,550,550,,
18136,0,400,400,400,400,400,400,,
18137,0,400,400,400,400,400,400,,
18138,0,600,600,600,550,550,550,,
18144,0,600,600,600,550,550,550,,
8691190455095,0,1250,1250,1200,1150,1150,1150,,
8691190455101,0,800,800,800,750,750,750,,
8691190455102,0,1250,1250,1200,1150,1150,1150,,
8691190070113,0,1150,1150,1100,1050,1050,1050,,
8691190070120,0,1150,1150,1100,1050,1050,1050,,
8691190070137,0,1150,1150,1100,1050,1050,1050,,
8691190070144,0,1150,1150,1100,1050,1050,1050,,
6930446201652,0,550,550,550,500,500,500,,
6930446201676,0,850,850,850,800,800,800,,
6296569003629,0,550,550,550,500,500,500,,
6296569003666,0,550,550,550,500,500,500,,
6296569004069,0,1000,1000,950,900,900,900,,
8691190261436,0,850,850,850,800,800,800,,
8691190262020,0,950,950,950,900,900,900,,
5901761905182,0,400,400,400,400,400,400,,
5901761903942,0,650,650,650,600,600,600,,
471094558001210,0,900,900,900,850,850,850,,
471094558001211,0,900,900,900,850,850,850,,
471094558001212,0,900,900,900,850,850,850,,
471094558001213,0,900,900,900,850,850,850,,
5902082504092,0,2500,2500,2400,2250,2250,2250,,
5902082503194,0,3100,3100,2950,2800,2800,2800,,
5902082503200,0,3100,3100,2950,2800,2800,2800,,
5902082503378,0,2100,2100,2000,1900,1900,1900,,
5902082504269,0,1700,1700,1650,1550,1550,1550,,
5902082504276,0,1700,1700,1650,1550,1550,1550,,
5902082504283,0,1700,1700,1650,1550,1550,1550,,
5901812090676,0,1700,1700,1650,1550,1550,1550,,
5901812090683,0,1700,1700,1650,1550,1550,1550,,
5907446667611,0,1950,1950,1900,1800,1800,1800,,
5902082502029,0,2500,2500,2400,2250,2250,2250,,
5901812097354,0,2500,2500,2400,2250,2250,2250,,
5901812096302,0,1750,1750,1700,1600,1600,1600,,
5901812096500,0,1750,1750,1700,1600,1600,1600,,
5901812096494,0,1750,1750,1700,1600,1600,1600,,
5902082502005,0,1300,1300,1250,1200,1200,1200,,
5907446665679,0,1400,1400,1350,1300,1300,1300,,
5907446665686,0,1400,1400,1350,1300,1300,1300,,
5907446665693,0,1400,1400,1350,1300,1300,1300,,
5907446665709,0,1400,1400,1350,1300,1300,1300,,
5907446665631,0,1400,1400,1350,1300,1300,1300,,
5902082504931,0,2450,2450,2350,2250,2250,2250,,
5902082503293,0,2450,2450,2350,2250,2250,2250,,
5902082504023,0,2000,2000,1900,1800,1800,1800,,
5902082504917,0,2000,2000,1900,1800,1800,1800,,
5901812090775,0,2200,2200,2100,2000,2000,2000,,
5901812090782,0,2200,2200,2100,2000,2000,2000,,
5901812090799,0,2200,2200,2100,2000,2000,2000,,
5902082502821,0,2800,2800,2700,2550,2550,2550,,
