suppliernumber,name,supplier_1,supplier_3,supplier_4,ЕАН,categories_Arm-1,categories_Arm-2,categories_Arm-3,categories_Rus-1,categories_Rus-2,categories_Rus-3,categories_Eng-1,categories_Eng-2,categories_Eng-3,propertyGroupName,brandName_1,brandName_4,brandName_3,countryName_1,countryName_3,countryName_4,name_3,name_4,Price,image_path,InStock,Unit
00009264,Կանպոլ ափսե կպչուն 4/519,Ալֆա Ֆարմ,Alfa Pharm,Альфа Фарм,5903407045191,Մանկական,Մանկական աքսեսուարներ,Սպասք,Детские,Детские аксессуары,Посуда,Kids,Children's accessories,Tableware,Buy.am defaults,Կանպոլ Բեբիս,Канпол Беби,Canpol Beby,Լեհաստան,Poland,Польша,Canpol Bowl 4/519 with suction cup,Канпол Миска 4/519 с присоской,3600,https://old.alfapharm.am/ma_img/big/00009264.png,8,հատ
00036752,Կանպոլ ափսե մելամինե բեժ 4/520,Ալֆա Ֆարմ,Alfa Pharm,Альфа Фарм,5901691811218,Մանկական,Մանկական աքսեսուարներ,Սպասք,Детские,Детские аксессуары,Посуда,Kids,Children's accessories,Tableware,Buy.am defaults,Կանպոլ Բեբիս,Канпол Беби,Canpol Beby,Լեհաստան,Poland,Польша,undefined,Канпол Миска 4/520 меламиновая с ушами бежевая,2540,https://old.alfapharm.am/ma_img/big/00036752.png,2,հատ
00012131,Կանպոլ ափսե մելամինե կապույտ 4/520,Ալֆա Ֆարմ,Alfa Pharm,Альфа Фарм,5901691811188,Մանկական,Մանկական աքսեսուարներ,Սպասք,Детские,Детские аксессуары,Посуда,Kids,Children's accessories,Tableware,Buy.am defaults,Կանպոլ Բեբիս,Канпол Беби,Canpol Beby,Լեհաստան,Poland,Польша,"Canpol Bowl 4/520 melamine with ears, blue",Канпол Миска 4/520 меламиновая с ушами голубая,2560,https://old.alfapharm.am/ma_img/big/00012131.png,3,հատ
00034098,Կանպոլ ափսե մելամինե կարմիր 4/520,Ալֆա Ֆարմ,Alfa Pharm,Альфа Фарм,5901691811195,Մանկական,Մանկական աքսեսուարներ,Սպասք,Детские,Детские аксессуары,Посуда,Kids,Children's accessories,Tableware,Buy.am defaults,Կանպոլ Բեբիս,Канпол Беби,Canpol Beby,Լեհաստան,Poland,Польша,Canpol Bowl 4/520 melamine with ears red,Канпол Миска 4/520 меламиновая с ушами красная,2520,https://old.alfapharm.am/ma_img/big/00034098.png,5,հատ
00034096,Կանպոլ ափսե մելամինե նարնջագույն 4/520,Ալֆա Ֆարմ,Alfa Pharm,Альфа Фарм,5901691811201,Մանկական,Մանկական աքսեսուարներ,Սպասք,Детские,Детские аксессуары,Посуда,Kids,Children's accessories,Tableware,Buy.am defaults,Կանպոլ Բեբիս,Канпол Беби,Canpol Beby,Լեհաստան,Poland,Польша,Canpol Bowl 4/520 melamine with ears orange,Канпол Миска 4/520 меламиновая с ушами оранжевая,2520,https://old.alfapharm.am/ma_img/big/00034096.png,4,հատ
00034097,Կանպոլ ափսե մելամինե վարդագույն 4/520,Ալֆա Ֆարմ,Alfa Pharm,Альфа Фарм,5901691811164,Մանկական,Մանկական աքսեսուարներ,Սպասք,Детские,Детские аксессуары,Посуда,Kids,Children's accessories,Tableware,Buy.am defaults,Կանպոլ Բեբիս,Канпол Беби,Canpol Beby,Լեհաստան,Poland,Польша,Canpol Bowl 4/520 melamine with ears pink,Канпол Миска 4/520 меламиновая с ушами розовая,2520,https://old.alfapharm.am/ma_img/big/00034097.png,3,հատ
00023764,Կանպոլ ափսե մելամինե կանաչ 4/520,Ալֆա Ֆարմ,Alfa Pharm,Альфа Фарм,5901691811171,Մանկական,Մանկական աքսեսուարներ,Սպասք,Детские,Детские аксессуары,Посуда,Kids,Children's accessories,Tableware,Buy.am defaults,Կանպոլ Բեբիս,Канпол Беби,Canpol Beby,Լեհաստան,Poland,Польша,Canpol Bowl 4/520 melamine green with ears,Канпол Миска 4/520 меламиновая с ушками зеленая,2520,https://old.alfapharm.am/ma_img/big/00023764.png,2,հատ
00034099,Կանպոլ ափսե Թոյս մելամինե կապույտ 4/522,Ալֆա Ֆարմ,Alfa Pharm,Альфа Фарм,5901691845220,Մանկական,Մանկական աքսեսուարներ,Սպասք,Детские,Детские аксессуары,Посуда,Kids,Children's accessories,Tableware,Buy.am defaults,Կանպոլ Բեբիս,Канпол Беби,Canpol Beby,Լեհաստան,Poland,Польша,Canpol Bowl 4/522 melamine Toys blue,Канпол Миска 4/522 меламиновая Тойс голубая,2920,https://old.alfapharm.am/ma_img/big/00034099.png,3,հատ
00034100,Կանպոլ ափսե Թոյս մելամինե վարդագույն 4/522,Ալֆա Ֆարմ,Alfa Pharm,Альфа Фарм,5901691810938,Մանկական,Մանկական աքսեսուարներ,Սպասք,Детские,Детские аксессуары,Посуда,Kids,Children's accessories,Tableware,Buy.am defaults,Կանպոլ Բեբիս,Канпол Беби,Canpol Beby,Լեհաստան,Poland,Польша,Canpol Bowl 4/522 melamine Toys pink,Канпол Миска 4/522 меламиновая Тойс розовая,2920,https://old.alfapharm.am/ma_img/big/00034100.png,3,հատ
00012030,Կանպոլ ափսե պլաստմասե 4/416,Ալֆա Ֆարմ,Alfa Pharm,Альфа Фарм,5903407044163,Մանկական,Մանկական աքսեսուարներ,Սպասք,Детские,Детские аксессуары,Посуда,Kids,Children's accessories,Tableware,Buy.am defaults,Կանպոլ Բեբիս,Канпол Беби,Canpol Beby,Լեհաստան,Poland,Польша,Canpol Plastic bowl 4/416,Канпол Миска пластиковая 4/416,2150,https://old.alfapharm.am/ma_img/big/00012030.png,2,հատ
