id,modelId,isModel,type,article,articleHtml,manufacturerCode,manufacturerCodeHtml,name,nameHtml,unitName,multiplicity,image.60,image.168,image.600,image.750,brand.id,brand.name,brand.synonyms,brand.nameHtml,sections,section.id,section.name,section.externalId,stocks,stockStatus,price.value,price.typeId,contractPrice,defaultPrice,favorite,analog,isAnalogSource,numberOfItemsInCart,badges,isRelated,isRelatedSource,hasRelated,productSets,externalLinks,changeDate,numberOfAnalogues,ean,shortName,series,manufacturerWarranty,deliveryTime
Btq2dnoB1FZ9qeQ644wZ,null,false,catalog,FTV110400601R2Y,FTV110400601R2Y,null,,"Радиатор панельный, Kermi, therm-x2 Profil-V, профильный, FTV 11, глубина, мм-61, высота, мм-400, длина, мм-600, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)","Радиатор панельный, Kermi, therm-x2 Profil-V, профильный, FTV 11, глубина, мм-61, высота, мм-400, длина, мм-600, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)",шт,1,/images/60/45/9d/459d66f75ad85c18aee9858a7d18b673.jpg,/images/168/45/9d/459d66f75ad85c18aee9858a7d18b673.jpg,/images/750/45/9d/459d66f75ad85c18aee9858a7d18b673.jpg,/images/750/45/9d/459d66f75ad85c18aee9858a7d18b673.jpg,2,Kermi (отопление),"керми, cermi",Kermi (отопление),"[{""id"":177,""name"":""Радиаторы панельные"",""externalId"":""ab3b7650-8f51-11e4-8887-003048b99ee9""}]",177,Радиаторы панельные,ab3b7650-8f51-11e4-8887-003048b99ee9,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":5,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":5,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,9827,469,5208.31,9827,false,false,false,0,"[{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],22-12-2021 10:52:20,null,,"Радиатор, FTV 11, 61*400*600, R, RAL 9016 (белый), РОССИЯ",therm-x2 Profil-V (FTV),10,90
Fdq2dnoB1FZ9qeQ644wZ,null,false,catalog,PLV120500601R2Y,PLV120500601R2Y,null,,"Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 12, глубина, мм-66, высота, мм-505, длина, мм-605, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)","Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 12, глубина, мм-66, высота, мм-505, длина, мм-605, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)",шт,1,/images/60/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/168/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,2,Kermi (отопление),"керми, cermi",Kermi (отопление),"[{""id"":177,""name"":""Радиаторы панельные"",""externalId"":""ab3b7650-8f51-11e4-8887-003048b99ee9""}]",177,Радиаторы панельные,ab3b7650-8f51-11e4-8887-003048b99ee9,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":12,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":12,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,14931.6,469,14931.6,14931.6,false,false,false,0,"[{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],22-12-2021 10:17:19,null,4037486670041,"Радиатор, PLV 12, 66*505*605, R, RAL 9016 (белый), РОССИЯ",therm-x2 Line-V (PLV),10,90
Ftq2dnoB1FZ9qeQ644wZ,null,false,catalog,PLV120500901R2Y,PLV120500901R2Y,null,,"Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 12, глубина, мм-66, высота, мм-505, длина, мм-905, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)","Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 12, глубина, мм-66, высота, мм-505, длина, мм-905, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)",шт,1,/images/60/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/168/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,2,Kermi (отопление),"керми, cermi",Kermi (отопление),"[{""id"":177,""name"":""Радиаторы панельные"",""externalId"":""ab3b7650-8f51-11e4-8887-003048b99ee9""}]",177,Радиаторы панельные,ab3b7650-8f51-11e4-8887-003048b99ee9,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":14,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":true,""amount"":4,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":14,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,19950,469,19950,19950,false,false,false,0,"[{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],22-12-2021 10:17:19,null,4037486670102,"Радиатор, PLV 12, 66*505*905, R, RAL 9016 (белый), РОССИЯ",therm-x2 Line-V (PLV),10,90
WNq2dnoB1FZ9qeQ644zS,null,false,catalog,PLV220300801R2Z,PLV220300801R2Z,null,,"Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 22, глубина, мм-102, высота, мм-305, длина, мм-805, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)","Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 22, глубина, мм-102, высота, мм-305, длина, мм-805, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)",шт,1,/images/60/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/168/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,2,Kermi (отопление),"керми, cermi",Kermi (отопление),"[{""id"":177,""name"":""Радиаторы панельные"",""externalId"":""ab3b7650-8f51-11e4-8887-003048b99ee9""}]",177,Радиаторы панельные,ab3b7650-8f51-11e4-8887-003048b99ee9,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":36,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":36,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,14790,469,14790,14790,false,false,false,0,"[{""name"":""Снято"",""nameShort"":""Снято"",""color"":""#2B72A3""},{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],22-12-2021 11:04:13,null,4037486992464,"[СНЯТО] Радиатор, PLV 22, 102*305*805, R, RAL 9016 (белый) (нов.арт. PLV220300801R2Y)",therm-x2 Line-V (PLV),10,112
qN7NdnoB1FZ9qeQ685_R,null,false,catalog,PLV220301301R2Z,PLV220301301R2Z,null,,"Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 22, глубина, мм-102, высота, мм-305, длина, мм-1305, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)","Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 22, глубина, мм-102, высота, мм-305, длина, мм-1305, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)",шт,1,/images/60/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/168/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,2,Kermi (отопление),"керми, cermi",Kermi (отопление),"[{""id"":177,""name"":""Радиаторы панельные"",""externalId"":""ab3b7650-8f51-11e4-8887-003048b99ee9""}]",177,Радиаторы панельные,ab3b7650-8f51-11e4-8887-003048b99ee9,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":34,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":34,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,21128.4,469,21128.4,21128.4,false,false,false,0,"[{""name"":""Снято"",""nameShort"":""Снято"",""color"":""#2B72A3""},{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],22-12-2021 10:49:43,null,4037486992563,"[СНЯТО] Радиатор, PLV 22, 102*305*1305, R, RAL 9016 (белый) (нов.арт. PLV220301301R2Y)",therm-x2 Line-V (PLV),10,112
AcN3AHcBIPhHjADqbABQ,null,false,catalog,PLV120501201R2Z,PLV120501201R2Z,null,,"Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 12, глубина, мм-66, высота, мм-505, длина, мм-1205, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)","Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 12, глубина, мм-66, высота, мм-505, длина, мм-1205, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)",шт,1,/images/60/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/168/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,2,Kermi (отопление),"керми, cermi",Kermi (отопление),"[{""name"":""Радиаторы панельные"",""id"":177,""externalId"":""ab3b7650-8f51-11e4-8887-003048b99ee9""}]",177,Радиаторы панельные,ab3b7650-8f51-11e4-8887-003048b99ee9,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":43,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":43,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,25017.6,469,25017.6,25017.6,false,false,false,0,"[{""name"":""Снято"",""nameShort"":""Снято"",""color"":""#2B72A3""},{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],22-12-2021 11:02:27,null,4037486989822,"[СНЯТО] Радиатор, PLV 12, 66*505*1205, R, RAL 9016 (белый) (нов.арт. PLV120501201R2Y)",,10,112
FMN3AHcBIPhHjADqbABQ,null,false,catalog,PLV120501601R2Z,PLV120501601R2Z,null,,"Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 12, глубина, мм-66, высота, мм-505, длина, мм-1605, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)","Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 12, глубина, мм-66, высота, мм-505, длина, мм-1605, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)",шт,1,/images/60/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/168/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,2,Kermi (отопление),"керми, cermi",Kermi (отопление),"[{""name"":""Радиаторы панельные"",""id"":177,""externalId"":""ab3b7650-8f51-11e4-8887-003048b99ee9""}]",177,Радиаторы панельные,ab3b7650-8f51-11e4-8887-003048b99ee9,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":16,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":16,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,31804.8,469,31804.8,31804.8,false,false,false,0,"[{""name"":""Снято"",""nameShort"":""Снято"",""color"":""#2B72A3""},{""name"":""Распродажа"",""nameShort"":""Распродажа"",""color"":""#4DB946""}]",false,false,false,[],[],22-12-2021 10:43:46,null,4037486989884,"[СНЯТО] Радиатор, PLV 12, 66*505*1605, R, RAL 9016 (белый) (нов.арт. PLV120501601R2Y)",,10,112
q2zH43sB1FZ9qeQ6Rw1k,null,false,catalog,PLV120500701R2Y,PLV120500701R2Y,null,,"Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 12, глубина, мм-66, высота, мм-505, длина, мм-705, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)","Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 12, глубина, мм-66, высота, мм-505, длина, мм-705, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)",шт,1,/images/60/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/168/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,2,Kermi (отопление),"керми, cermi",Kermi (отопление),"[{""id"":177,""name"":""Радиаторы панельные"",""externalId"":""ab3b7650-8f51-11e4-8887-003048b99ee9""}]",177,Радиаторы панельные,ab3b7650-8f51-11e4-8887-003048b99ee9,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":14,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":14,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,16602,469,16602,16602,false,false,false,0,"[{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],22-12-2021 10:52:20,null,,"Радиатор, PLV 12, 66*505*705, R, RAL 9016 (белый), РОССИЯ",therm-x2 Line-V (PLV),10,90
rmzH43sB1FZ9qeQ6Rw1k,null,false,catalog,PLV120501301R2Y,PLV120501301R2Y,null,,"Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 12, глубина, мм-66, высота, мм-505, длина, мм-1305, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)","Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 12, глубина, мм-66, высота, мм-505, длина, мм-1305, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)",шт,1,/images/60/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/168/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,2,Kermi (отопление),"керми, cermi",Kermi (отопление),"[{""id"":177,""name"":""Радиаторы панельные"",""externalId"":""ab3b7650-8f51-11e4-8887-003048b99ee9""}]",177,Радиаторы панельные,ab3b7650-8f51-11e4-8887-003048b99ee9,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":10,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":10,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,26674.8,469,26674.8,26674.8,false,false,false,0,"[{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],22-12-2021 10:52:20,null,,"Радиатор, PLV 12, 66*505*1305, R, RAL 9016 (белый), РОССИЯ",therm-x2 Line-V (PLV),10,90
r2zH43sB1FZ9qeQ6Rw1k,null,false,catalog,PLV120501401R2Y,PLV120501401R2Y,null,,"Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 12, глубина, мм-66, высота, мм-505, длина, мм-1405, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)","Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 12, глубина, мм-66, высота, мм-505, длина, мм-1405, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)",шт,1,/images/60/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/168/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,2,Kermi (отопление),"керми, cermi",Kermi (отопление),"[{""id"":177,""name"":""Радиаторы панельные"",""externalId"":""ab3b7650-8f51-11e4-8887-003048b99ee9""}]",177,Радиаторы панельные,ab3b7650-8f51-11e4-8887-003048b99ee9,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":20,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":20,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,28491.6,469,28491.6,28491.6,false,false,false,0,"[{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],22-12-2021 10:52:20,null,,"Радиатор, PLV 12, 66*505*1405, R, RAL 9016 (белый), РОССИЯ",therm-x2 Line-V (PLV),10,90
