id,modelId,isModel,type,article,articleHtml,manufacturerCode,manufacturerCodeHtml,name,nameHtml,unitName,multiplicity,image.60,image.168,image.600,image.750,brand.synonyms,brand.name,brand.id,brand.nameHtml,sections,section.name,section.id,section.externalId,stocks,stockStatus,price.value,price.typeId,contractPrice,defaultPrice,favorite,analog,isAnalogSource,numberOfItemsInCart,badges,isRelated,isRelatedSource,hasRelated,productSets,externalLinks,changeDate,numberOfAnalogues,ean,shortName,series,manufacturerWarranty,deliveryTime
bgtKHHEBne9BtIgc63B0,null,false,catalog,TC513F,TC513F,null,,"Сиденье для унитаза, ToTo, RP, с крышкой, ширина, мм-385, глубина, мм-477, с плавным опусканием, материал шарниров-нержавеющая сталь, цвет шарниров-сталь, без декора, материал сиденья-карбамидная смола, цвет-белый глянцевый","Сиденье для унитаза, ToTo, RP, с крышкой, ширина, мм-385, глубина, мм-477, с плавным опусканием, материал шарниров-нержавеющая сталь, цвет шарниров-сталь, без декора, материал сиденья-карбамидная смола, цвет-белый глянцевый",шт,1,/images/60/9c/78/9c78783fe06f3d802916955bfd77989e.png,/images/168/9c/78/9c78783fe06f3d802916955bfd77989e.png,/images/750/9c/78/9c78783fe06f3d802916955bfd77989e.png,/images/750/9c/78/9c78783fe06f3d802916955bfd77989e.png,тото,ToTo,40,ToTo,"[{""name"":""Сиденье для унитаза"",""id"":373,""externalId"":""ec05aad1-8524-11e4-8887-003048b99ee9""}]",Сиденье для унитаза,373,ec05aad1-8524-11e4-8887-003048b99ee9,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":0,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,15800,469,null,15800,false,false,false,0,"[{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],27-01-2022 01:07:31,null,4040034016307,"Сиденье для унитаза, ToTo, RP, шг 385*477, цвет-белый глянцевый",RP,,180
VU7mJXUB_WO7PiRX09Ic,null,false,catalog,100490,100490,null,,"Переходник, Viega, HP - BP, 1/2"" х 10 мм, с внутренним квадратом под ключ, модель 1513, латунь","Переходник, Viega, HP - BP, 1/2"" х 10 мм, с внутренним квадратом под ключ, модель 1513, латунь",шт,1,/images/60/03/0a/030a506480d5e5e302712fc7f16252ec.jpg,/images/168/03/0a/030a506480d5e5e302712fc7f16252ec.jpg,/images/750/03/0a/030a506480d5e5e302712fc7f16252ec.jpg,/images/750/03/0a/030a506480d5e5e302712fc7f16252ec.jpg,виега,Viega (фитинги),22,Viega (фитинги),"[{""name"":""Переходники"",""id"":249,""externalId"":""ed0971de-5594-11e6-a6a0-003048b99ee8""}]",Переходники,249,ed0971de-5594-11e6-a6a0-003048b99ee8,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":0,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,175.31,469,null,175.31,false,false,false,0,"[{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],22-12-2021 10:19:32,null,,"Переходник, НР-ВР, 1/2"" х 10, латунь",Латунные резьбовые фитинги,,50
Dzxw33UBIPhHjADqWt5M,null,false,catalog,650926,650926,null,,"Ниппель удлиненный, Viega, 110 x 1/2"", модель 3530, бронза","Ниппель удлиненный, Viega, 110 x 1/2"", модель 3530, бронза",шт,1,/images/60/9d/32/9d32e481697849bff1e9d71aa5eb5eb9.jpg,/images/168/9d/32/9d32e481697849bff1e9d71aa5eb5eb9.jpg,/images/750/9d/32/9d32e481697849bff1e9d71aa5eb5eb9.jpg,/images/750/9d/32/9d32e481697849bff1e9d71aa5eb5eb9.jpg,виега,Viega (фитинги),22,Viega (фитинги),"[{""name"":""Ниппели"",""id"":248,""externalId"":""5eee8a3a-5592-11e6-a6a0-003048b99ee8""}]",Ниппели,248,5eee8a3a-5592-11e6-a6a0-003048b99ee8,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":0,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,818.5,469,null,818.5,false,false,false,0,"[{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],31-01-2022 09:29:36,null,4015211650926,"Ниппель удлиненный, 110 x 1/2"", бронза",Бронзовые резьбовые фитинги,1,50
d78UdnoB1FZ9qeQ69P8D,null,false,catalog,41748670,41748670,null,,"Бумагодержатель, Hansgrohe, AddStoris, без крышки, двойной, ширина, мм-300, глубина, мм-78, высота, мм-21, тип установки-настенный, крепления в комплекте, цвет-черный матовый","Бумагодержатель, Hansgrohe, AddStoris, без крышки, двойной, ширина, мм-300, глубина, мм-78, высота, мм-21, тип установки-настенный, крепления в комплекте, цвет-черный матовый",шт,1,/images/60/d3/89/d38962aac29a794f4a3990a4ed53c610.png,/images/168/d3/89/d38962aac29a794f4a3990a4ed53c610.png,/images/750/d3/89/d38962aac29a794f4a3990a4ed53c610.png,/images/750/d3/89/d38962aac29a794f4a3990a4ed53c610.png,"хансгрое, хансгрохе, hansgroe",Hansgrohe,113,Hansgrohe,"[{""id"":337,""name"":""Бумагодержатель"",""externalId"":""22df223a-8450-11e4-8887-003048b99ee9""}]",Бумагодержатель,337,22df223a-8450-11e4-8887-003048b99ee9,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":0,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,4854.49,469,null,4854.49,false,false,false,0,"[{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],26-01-2022 09:36:57,null,4059625297346,"Бумагодержатель, Hansgrohe, AddStoris, шгв 300*78*21, цвет-черный матовый",AddStoris,5,60
1T16hmwBpdxqooujuEOj,null,false,catalog,3500 001 06,3500 001 06,null,,"Бумагодержатель, Emco, System2, с крышкой, ширина, мм-124, глубина, мм-110, высота, мм-87, тип установки-настенный, крепеж-есть, цвет-хром","Бумагодержатель, Emco, System2, с крышкой, ширина, мм-124, глубина, мм-110, высота, мм-87, тип установки-настенный, крепеж-есть, цвет-хром",шт,1,/images/60/ef/c5/efc50ad89ad35cb78ef75bb33b0be734.jpg,/images/168/ef/c5/efc50ad89ad35cb78ef75bb33b0be734.jpg,/images/750/ef/c5/efc50ad89ad35cb78ef75bb33b0be734.jpg,/images/750/ef/c5/efc50ad89ad35cb78ef75bb33b0be734.jpg,"emko, эмко, емко, уьсщ, уьлщ, 'vrj, tvrj",Emco (аксессуары для ванных комнат),116,Emco (аксессуары для ванных комнат),"[{""name"":""Бумагодержатель"",""id"":337,""externalId"":""22df223a-8450-11e4-8887-003048b99ee9""}]",Бумагодержатель,337,22df223a-8450-11e4-8887-003048b99ee9,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":0,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,11154.56,469,null,11154.56,false,false,false,0,"[{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],21-02-2022 06:06:52,null,4018445098670,"Бумагодержатель, Emco, System2, шгв 124*110*87, цвет-хром",System2,5,73
ZUGVC3ABdBJ7-VYNeG6W,null,false,catalog,10700000,10700000,null,,"Смеситель для ванны и душа, Hansgrohe, Axor Starck, тип открывания воды-одновентильный, тип регулирования воды-термостатический картридж, тип установки-встраиваемый, отверстия для монтажа-1, комплектация-запорный вентиль, ограничитель температуры воды, внутренняя часть-необходимо заказать, цвет-хром","Смеситель для ванны и душа, Hansgrohe, Axor Starck, тип открывания воды-одновентильный, тип регулирования воды-термостатический картридж, тип установки-встраиваемый, отверстия для монтажа-1, комплектация-запорный вентиль, ограничитель температуры воды, внутренняя часть-необходимо заказать, цвет-хром",шт,1,/images/60/14/8f/148fc28433dfd8cc70f44a0f1d239b0a.png,/images/168/14/8f/148fc28433dfd8cc70f44a0f1d239b0a.png,/images/750/14/8f/148fc28433dfd8cc70f44a0f1d239b0a.png,/images/750/14/8f/148fc28433dfd8cc70f44a0f1d239b0a.png,,Axor,144,Axor,"[{""name"":""Смеситель для ванны и душа"",""id"":389,""externalId"":""d56e5a81-852f-11e4-8887-003048b99ee9""}]",Смеситель для ванны и душа,389,d56e5a81-852f-11e4-8887-003048b99ee9,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":0,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,108942.18,469,null,108942.18,false,false,false,0,"[{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],21-02-2022 06:10:57,null,4011097338040,"Смеситель для ванны и душа, Hansgrohe, Axor Starck, цвет-хром",Axor Starck,2,46
_0GVC3ABdBJ7-VYNWGx2,null,false,catalog,96441000,96441000,null,,"Уплотнительная манжета, Hansgrohe, Axor Starck, PuraVida","Уплотнительная манжета, Hansgrohe, Axor Starck, PuraVida",шт,1,/images/60/c2/f9/c2f9f8e167bb27f76fc4fa0bce14d714.jpg,/images/168/c2/f9/c2f9f8e167bb27f76fc4fa0bce14d714.jpg,/images/750/c2/f9/c2f9f8e167bb27f76fc4fa0bce14d714.jpg,/images/750/c2/f9/c2f9f8e167bb27f76fc4fa0bce14d714.jpg,,Axor,144,Axor,"[{""name"":""Комплектующие для смесителей"",""id"":396,""externalId"":""fb01a549-9bc7-11e4-8887-003048b99ee9""}]",Комплектующие для смесителей,396,fb01a549-9bc7-11e4-8887-003048b99ee9,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":0,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,15384.47,469,null,15384.47,false,false,false,0,"[{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],21-02-2022 06:11:12,null,4011097432717,"Уплотнительная манжета, Hansgrohe, Axor Starck, PuraVida",Без коллекции,5,46
e0GVC3ABdBJ7-VYNgG7x,null,false,catalog,27451000,27451000,null,,"Шланговое подсоединение, Hansgrohe, Axor Stark, Fixfit, стандарт подвода воды-1/2"", цвет-хром, с клапаном обратного тока воды","Шланговое подсоединение, Hansgrohe, Axor Stark, Fixfit, стандарт подвода воды-1/2"", цвет-хром, с клапаном обратного тока воды",шт,1,/images/60/0d/dd/0dddff4f23e23bd2d3aae56bb5f4cbcb.jpg,/images/168/0d/dd/0dddff4f23e23bd2d3aae56bb5f4cbcb.jpg,/images/750/0d/dd/0dddff4f23e23bd2d3aae56bb5f4cbcb.jpg,/images/750/0d/dd/0dddff4f23e23bd2d3aae56bb5f4cbcb.jpg,,Axor,144,Axor,"[{""name"":""Шланговое подсоединение"",""id"":417,""externalId"":""5f54b4be-f977-11e4-9045-003048b99ee9""}]",Шланговое подсоединение,417,5f54b4be-f977-11e4-9045-003048b99ee9,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":0,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,5352.43,469,null,5352.43,false,false,false,0,"[{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],21-02-2022 06:11:12,null,4011097265377,"Шланговое подсоединение, Hansgrohe, Axor Stark, Fixfit, цвет-хром",Axor Stark Fixfit,5,46
U0GVC3ABdBJ7-VYNeG6W,null,false,catalog,10750180,10750180,null,,"Внутрення часть, Hansgrohe, Axor Starck ShowerCollection, назначение-для модуля термостата, стандарт подвода воды-3/4"", расход воды 59 л/мин, возможно одновременное включение 3 потребителей, подсоединение с левой или с правой стороны,  горизонтальный или вертикальный монтаж, звукоизолирующий монтаж, цвет хром","Внутрення часть, Hansgrohe, Axor Starck ShowerCollection, назначение-для модуля термостата, стандарт подвода воды-3/4"", расход воды 59 л/мин, возможно одновременное включение 3 потребителей, подсоединение с левой или с правой стороны,  горизонтальный или вертикальный монтаж, звукоизолирующий монтаж, цвет хром",шт,1,/images/60/59/44/5944182ee936f060834ebd4a2c69628b.jpg,/images/168/59/44/5944182ee936f060834ebd4a2c69628b.jpg,/images/750/59/44/5944182ee936f060834ebd4a2c69628b.jpg,/images/750/59/44/5944182ee936f060834ebd4a2c69628b.jpg,,Axor,144,Axor,"[{""name"":""Внутренняя часть"",""id"":418,""externalId"":""5f54b4c8-f977-11e4-9045-003048b99ee9""}]",Внутренняя часть,418,5f54b4c8-f977-11e4-9045-003048b99ee9,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":0,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,141811.43,469,null,141811.43,false,false,false,0,"[{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],21-02-2022 06:11:12,null,4011097594286,"Внутрення часть для термостата, Hansgrohe, Axor Starck",Axor ShowerCollection,5,46
Fdq2dnoB1FZ9qeQ644wZ,null,false,catalog,PLV120500601R2Y,PLV120500601R2Y,null,,"Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 12, глубина, мм-66, высота, мм-505, длина, мм-605, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)","Радиатор панельный, Kermi, therm-x2 Line-V, гладкий, PLV 12, глубина, мм-66, высота, мм-505, длина, мм-605, тип подключения-R, нижнее справа, с термостатическим вентилем, рабочее давление, бар-10, цвет-RAL 9016 (белый)",шт,1,/images/60/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/168/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,/images/750/01/36/013620a8f6711a3f551c3de435de4c6d.jpg,"керми, cermi",Kermi (отопление),2,Kermi (отопление),"[{""id"":177,""name"":""Радиаторы панельные"",""externalId"":""ab3b7650-8f51-11e4-8887-003048b99ee9""}]",Радиаторы панельные,177,ab3b7650-8f51-11e4-8887-003048b99ee9,"[{""id"":2,""status"":null,""name"":""МСК"",""inStock"":true,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":12,""status"":null,""name"":""Товары в пути"",""inStock"":false,""amount"":0,""deliveryDays"":0,""quantity"":null,""regionIds"":[2,4,3],""isVirtual"":false,""hint"":""""},{""id"":""virtual_2"",""status"":"""",""name"":"""",""inStock"":true,""amount"":0,""deliveryDays"":null,""quantity"":null,""regionIds"":[2],""isVirtual"":true,""hint"":""""}]",null,14931.6,469,null,14931.6,false,false,false,0,"[{""name"":""Складская программа"",""nameShort"":"""",""color"":""#584A4A""}]",false,false,false,[],[],07-02-2022 16:07:25,null,4037486670041,"Радиатор, PLV 12, 66*505*605, R, RAL 9016 (белый), РОССИЯ",therm-x2 Line-V (PLV),10,90
