CIDIPR,ITEMPR,PHQTPR,BARCOD,LARTAR,SELPPR
480,57215,24.000,3409802,ICE BREAKERS APPLE WAT TANG 42G,1350.000
480,57215,24.000,3409802,ICE BREAKERS APPLE WAT TANG 42G,1350.000
480,57215,24.000,3409802,ICE BREAKERS APPLE WAT TANG 42G,1350.000
480,57214,7.000,3499504,ICE BREAKERS BERRY MIX 42G,1350.000
480,57214,7.000,3499504,ICE BREAKERS BERRY MIX 42G,1350.000
480,57214,7.000,3499504,ICE BREAKERS BERRY MIX 42G,1350.000
480,7458,11.000,30056640,REXONA DEO STICK ALOE VERA  45ML,1150.000
480,7458,11.000,30056640,REXONA DEO STICK ALOE VERA  45ML,1150.000
480,30427,1.000,30079847,MAYBELLINE MASCARA VOL COOL BLACK,3880.000
480,30427,1.000,30079847,MAYBELLINE MASCARA VOL COOL BLACK,3880.000
480,61041,1.000,30096608,MAYBELLINE FIT ME MATT CORRECTOR 20,3250.000
480,61041,1.000,30096608,MAYBELLINE FIT ME MATT CORRECTOR 20,3250.000
480,61042,.000,30096615,MAYBELLINE FACE CORRECTOR FIT ME 25,3050.000
480,40755,.000,30098749,MAPED DARK BALL PEN 225430 BLUE,110.000
480,30430,.000,30098848,MAYBELLINE MASCARA VOLUM COLOS SMOK,3300.000
480,61236,.000,30102446,MAPED GREEN DARK PEN GREEN 225433,110.000
480,61236,.000,30102446,MAPED GREEN DARK PEN GREEN 225433,110.000
480,81014,12.000,30102477,MAPED PEN 224433,110.000
480,40754,71.000,30102484,MAPED ICE BALL PEN 224432 RED,110.000
480,40753,46.000,30102491,MAPED ICE BALL PEN 224431 BLACK,110.000
480,40752,66.000,30102507,MAPED ICE BALL PEN 224430 BLUE,110.000
480,40752,66.000,30102507,MAPED ICE BALL PEN 224430 BLUE,110.000
480,40752,66.000,30102507,MAPED ICE BALL PEN 224430 BLUE,110.000
480,30728,.000,30104105,LOREAL LIPSTICK CARESSE SERUM 504,3680.000
480,30725,.000,30104150,LOREAL LIPSTKCR CARESSE SERUM 10,3500.000
480,18953,71.000,30109926,MAPED FINE PEN BALL 224234 BLUE,110.000
480,18954,.000,30109933,MAPED GREEN FINE PEN BALL BLACK,120.000
480,18955,.000,30109940,MAPED GREEN FINE PEN BALL RED,120.000
480,49174,.000,30118867,MAYBELLINE LINER MASTER INK SATIN,3900.000
480,56454,.000,30143265,MAYBELLINE MASCARA COLOSSAL BIGSHOT,3700.000
480,60115,.000,30154636,MAYBELLINE EYE SUPERLINER SENSATN 1,3890.000
480,60110,.000,30155206,MAYBELLINE MASCARA VOLUM TEMPTATION,1800.000
