"mainnumber","Price","PromoPrice","Available",
"10757","37000.0000","31450","False",
"11659","17200.0000","14620","False",
"12718","51000.0000","43350","False",
"14150","350000.0000","350000.0000","False",
"10009","835000.0000","599000.0000","False",
"11068","78000.0000","66300","False",
"11970","15700.0000","13345","False",
"13029","4700.0000","3600.0000","True",
"13288","12200.0000","10370","False",
"14367","36500.0000","23900.0000","False",
"14990","177800.0000","151130","False",
"10206","223000.0000","155000.0000","False",
"11265","75200.0000","63920","False",
"12324","769900.0000","654415","False",
"13069","161900.0000","137615","True",
"13642","6400.0000","5440","False",
"14564","8100.0000","8100.0000","False",
"15187","78000.0000","66300","False",
"10446","25000.0000","21250","False",
"11348","672200.0000","571370","False",
"12407","15100.0000","12835","False",
"14067","117000.0000","117000.0000","False",
"14761","263400.0000","223890","False",
"15270","230100.0000","195585","False",
"10643","70800.0000","60180","False",
"11545","431600.0000","299000.0000","False",
"12604","184100.0000","156485","False",
"10954","49100.0000","41735","False",
"12013","60400.0000","47900.0000","True",
"12915","21800.0000","18530","False",
"13402","21500.0000","18275","False",
"14253","19400.0000","16490","False",
"14876","849000.0000","721650","False",
"16837","516600.0000","439110","False",
"10092","60400.0000","35000.0000","False",
"11151","18600.0000","15810","False",
"12210","53200.0000","45220","False",
"13756","175000.0000","175000.0000","False",
"14450","15300.0000","13005","False",
"15073","461900.0000","392615","False",
"10631","8000.0000","6800","False",
"11690","8700.0000","7395","False",
"12749","1500.0000","1500.0000","True",
"14024","61900.0000","50000.0000","False",
"14647","30600.0000","26010","False",
"15083","99900.0000","99900.0000","False",
"16514","28500.0000","24225","False",
"10828","99200.0000","84320","False",
"11887","19400.0000","16490","False",
"12946","56800.0000","48280","False",
"13319","26500.0000","22525","True",
"16868","413900.0000","351815","False",
"10237","51800.0000","35000.0000","False",
"11139","1485800.0000","1262930","False",
"12198","38700.0000","30900.0000","True",
"13100","85100.0000","72335","False",
"13516","6900.0000","5865","True",
"16536","700.0000","595","False",
"10434","8600.0000","7310","False",
"11493","99200.0000","84320","False",
"12395","283000.0000","240550","False",
"13713","369700.0000","139000.0000","False",
"14336","2900.0000","2465","False",
"15258","438800.0000","372980","False",
"10517","233600.0000","198560","False",
"11576","412000.0000","350200","False",
"12635","46100.0000","39185","False",
"14138","76000.0000","64600","False",
"14533","39800.0000","33830","False",
"10871","37700.0000","25900.0000","True",
"11773","460000.0000","289000.0000","False",
"12832","2193200.0000","1864220","False",
"13433","51500.0000","43775","False",
"15394","259000.0000","220150","False",
"16754","57400.0000","48790","False",
"10123","651100.0000","553435","False",
"11182","56800.0000","48280","False",
"12084","12100.0000","10285","False",
"13630","102000.0000","86700","False",
"16650","59900.0000","59900.0000","False",
"10320","106300.0000","90355","False",
"11379","265500.0000","225675","False",
"13183","12100.0000","10285","False",
"13827","145600.0000","145600.0000","False",
"14222","3200.0000","2720","False",
"15301","17900.0000","15215","False",
"16847","138900.0000","138900.0000","False",
"10104","53200.0000","45220","False",
"11163","3700.0000","3145","False",
"12065","106300.0000","90355","False",
"13497","220600.0000","99900.0000","True",
"14272","36500.0000","19900.0000","True",
"14928","87900.0000","74715","False",
"16517","0.0100","0","False",
"10301","15700.0000","13345","False",
"11360","49100.0000","41735","False",
"12419","113400.0000","96390","False",
"13164","24200.0000","20570","False",
"13694","221700.0000","188445","False",
"14469","21200.0000","18020","False",
"15282","106300.0000","90355","False",
"10612","51800.0000","44030","False",
"11671","85100.0000","72335","False",
"12730","55000.0000","43900.0000","True",
"14048","278900.0000","237065","False",
"14666","37200.0000","31620","False",
"14950","12900.0000","12900.0000","False",
"16495","304500.0000","189000.0000","False",
"10809","1839400.0000","1563490","False",
"11868","6900.0000","5865","False",
"12927","645400.0000","548590","False",
"16849","2000.0000","1700","False",
"11049","364500.0000","309825","False",
"11951","74600.0000","63410","False",
"13010","141600.0000","120360","False",
"13611","379000.0000","322150","False",
"14971","60400.0000","51340","False",
"16631","56000.0000","33900.0000","False",
"10187","28500.0000","24225","False",
"11246","219400.0000","186490","False",
"12305","162900.0000","138465","False",
"13808","316800.0000","316800.0000","False",
"14355","23900.0000","20315","False",
"14867","115000.0000","115000.0000","False",
"15168","68800.0000","58480","False",
"10498","1591900.0000","1353115","False",
"11557","16400.0000","13940","False",
"12616","53200.0000","45220","False",
"14552","12000.0000","10200","False",
